Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Absent auditory canals	7/39	0.00156985836579449	0.028387889064698	7	0.17948717948718	CDT1;CDC45;ORC6;ORC1;GMNN;SIX1;CDC6
Absent external auditory canals	7/39	0.00156985836579449	0.028387889064698	7	0.17948717948718	CDT1;CDC45;ORC6;ORC1;GMNN;SIX1;CDC6
Adenocarcinoma of rectum	7/39	0.00156985836579449	0.028387889064698	7	0.17948717948718	MMP11;NT5E;CEACAM5;H2AFX;MKI67;TYMS;HIF1A
Atresia of the external auditory canal	7/39	0.00156985836579449	0.028387889064698	7	0.17948717948718	CDT1;CDC45;ORC6;ORC1;GMNN;SIX1;CDC6
Atretic auditory canal	7/39	0.00156985836579449	0.028387889064698	7	0.17948717948718	CDT1;CDC45;ORC6;ORC1;GMNN;SIX1;CDC6
Upper Aerodigestive Tract Neoplasms	6/29	0.00157541842487794	0.028387889064698	6	0.206896551724138	RAD51;FAT1;TGFA;PRAME;TYMS;APOBEC3B
Head Neoplasms	6/29	0.00157541842487794	0.028387889064698	6	0.206896551724138	RAD51;FAT1;TGFA;PRAME;TYMS;APOBEC3B
Hypoplastic labia minora	6/29	0.00157541842487794	0.028387889064698	6	0.206896551724138	CDT1;CDC45;ORC6;ORC1;GMNN;CDC6
Infection caused by Helicobacter pylori	26/308	0.0015842147323074	0.028387889064698	26	0.0844155844155844	CDA;TGFA;CXCL13;FUT2;FOXM1;FUT3;HSPD1;CDH1;CTSK;SPP1;EIF4EBP1;TIMP1;MMP7;PARP1;CDKN2A;CCL20;MMP1;SLC52A2;TFPI2;MMP9;AGT;RAD51;IL23A;IL2RA;TFF1;APOBEC3B
Aortic Aneurysm, Thoracic	12/99	0.00158924573168688	0.028387889064698	12	0.121212121212121	COL1A1;VCAN;COL3A1;COL1A2;SERPINE2;COL5A1;COL11A1;COL5A2;SPP1;HIF1A;MMP9;AGT
Adenocarcinoma of lung, stage I	5/20	0.00159184064400932	0.028387889064698	5	0.25	ADAM12;SLC2A1;EIF4EBP1;TYMS;AURKA
